"vid","cid","id","source","project","pcode","name","visit_date","visit_onsite","visit_onsite_novisitreason","geom","longitude","latitude","location_origin","province","province_old","territoire","collectivite","groupement","village","workers_numb","access_dry","access_wet","is_3t_mine","is_gold_mine","mineral1","selling_points_mineral1","final_destination_mineral1","mineral2","selling_points_mineral2","final_destination_mineral2","mineral3","selling_points_mineral3","final_destination_mineral3","mercury","presence","interference","armed_group1","type_armed_group1","frequency_armed_group1","taxation_armed_group1","commerce_taxation_armed_group1","entrance_taxation_armed_group1","monopoly_armed_group1","buying_minerals_armed_group1","digging_armed_group1","forced_labour_armed_group1","pillaging_armed_group1","pit_ownership_armed_group1","armed_group2","type_armed_group2","frequency_armed_group2","taxation_armed_group2","commerce_taxation_armed_group2","entrance_taxation_armed_group2","monopoly_armed_group2","buying_minerals_armed_group2","digging_armed_group2","forced_labour_armed_group2","pillaging_armed_group2","pit_ownership_armed_group2","armed_group3","type_armed_group3","frequency_armed_group3","taxation_armed_group3","commerce_taxation_armed_group3","entrance_taxation_armed_group3","monopoly_armed_group3","buying_minerals_armed_group3","digging_armed_group3","forced_labour_armed_group3","pillaging_armed_group3","pit_ownership_armed_group3","mechanisation","state_service1","state_service2","state_service3","state_service4","traceability","qualification","childunder15","childunder15work","women","womenwork"
2357,1794,1794,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01234","Kisimba mombo","2015-07-15",1,,"0101000020E61000009AE695F79A623C406B056C97B3A316C0",28.38517711076438,-5.659864774673546,"GPS","Tanganyika","Katanga","Nyunzu","Nord-Lukuga","Bakalanga II","Katatu",150,,,1,0,"Coltan","Kisengo","Kalemie",,,,,,,,0,0,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines","iTSCi (via SAESSCAM)",,"iTSCI",,0,,0,
2358,1795,1795,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01328","Wemba","2015-07-15",1,,"0101000020E6100000001C7BF65C4A3C40BCE7C072843C16C0",28.290481,-5.559099,"GPS","Tanganyika","Katanga","Nyunzu","Nord-Lukuga","Bakalanga II","Mashala",57,,,1,0,"Coltan","Kisengo","Kalemie",,,,,,,,0,0,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2359,1796,1796,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01335","Filon II","2015-07-15",1,,"0101000020E6100000F705BAC78BE43C4064731B826171FCBF",28.892757876315923,-1.7776808817208911,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Buzi","Lowa/Numbi",80,,,1,0,"Cassitérite","Numbi","Bukavu",,,,,,,,0,0,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2360,1797,1797,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01800","Bethléhem","2015-07-15",1,,"0101000020E61000008873E5D8679B3A40588EBADC7373FF3F",26.6070533333,1.9656866667,"GPS","Tshopo","orientale","Bafwasende","Bafwandaka","Betingembi","Bafwanzama",102,,,0,1,"Or","Singa Mwambe","Butembo",,,,,,,"0",1,1,"FARDC","FARDC - Éléments indisciplinés","Une fois par mois","1",,,"1","0","0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines","Collectivité locale","Environnement",,,0,,1,"Vendre"
2361,1798,1798,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01831","Libye","2015-07-15",1,,"0101000020E610000009A7052FFA8E3A40D578E9263188FF3F",26.558505,1.97075,"GPS","Tshopo","orientale","Bafwasende","Bafwandaka","Betingembi","Bafwazama",95,,,0,1,"Or","Singa Mwambe","Butembo",,,,,,,"0",1,1,"FARDC","FARDC - Éléments indisciplinés","Une fois par mois","1",,,"1","0","0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines","Environnement","Collectivité secteur",,,0,,1,"Vendre, Tâches ménagères et prostitution"
2362,1799,1799,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01833","Lwango","2015-07-15",1,,"0101000020E610000007D3307C44043D40EF586C938A46FDBF",29.01667,-1.829722,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Mbinga nord","Nabwimba",9,,,1,0,"Coltan","Bukavu","Bukavu",,,,,,,,0,0,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2363,1800,1800,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01834","Makapela l","2015-07-15",1,,"0101000020E6100000C84109336D833A4069FD03A6C0EFFD3F",26.513385,1.8710333333,"GPS","Tshopo","orientale","Bafwasende","Bafwandaka","Betingembi","Bafwazoko",75,,,0,1,"Or","Bafwazio, Bangbo","Kisangani",,,,,,,"0",1,1,"FARDC","FARDC - Éléments indisciplinés","Une fois par mois","1",,,"1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines","Collectivité locale",,,,0,,0,
2364,1801,1801,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01843","Nyamisenge","2015-07-15",1,,"0101000020E61000006E0AE56A87313B40FC7A8149ABD40DC0",27.193472557943487,-3.7288423292769703,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Wakabango","Nkulu","Kamba nyama",10,,,0,1,"Or",,"Bukavu",,,,,,,"0",0,0,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Division des mines",,,,,,0,,0,
2365,1802,1802,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01849","Nyalumpunda","2015-07-15",1,,"0101000020E6100000D122DBF97EAA3B40894160E5D02210C0",27.666,-4.034,"Approximation","Sud-Kivu","Sud-Kivu","Shabunda","Wakabango","Ikama-Kasanza","Lubinga",20,,,0,1,"Or",,"Bukavu",,,,,,,"0",1,0,"FARDC","FARDC - Pas d’ingérence constatée","Une fois par mois","0",,,"0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2366,1803,1803,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01862","Zua idée","2015-07-15",1,,"0101000020E61000007AAA436E86933A409B1E3EEFD9CDFF3F",26.57627,1.9877566667,"GPS","Tshopo","orientale","Bafwasende","Bafwandaka","Betingembi","Bafwazama",142,,,0,1,"Or","Singa Mwambe","Butembo",,,,,,,"0",1,1,"FARDC","FARDC - Éléments indisciplinés","Une fois par mois","1",,,"1","0","0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines","Collectivité secteur",,,,0,,1,"Vendre, Tâches ménagères et prostitution"
2367,1804,1804,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine00718","Mukunduni","2015-07-16",1,,"0101000020E610000070B4E386DFB93B402906483481220EC0",27.726067,-3.766848,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Wakabango","Ikama-Kasanza","Kabilongo",50,,,0,1,"Or",,"Bukavu",,,,,,,"0",1,1,"FARDC","FARDC - Éléments indisciplinés","Une fois par mois","1",,,"0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2368,1805,1805,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine00719","Kasongo","2015-07-16",1,,"0101000020E6100000D192C7D3F2C33B400874266DAA2E0EC0",27.765424,-3.772786,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Wakabango","Ikama-Kasanza","Kasongo",6,,,0,1,"Or",,"Bukavu",,,,,,,"0",1,0,"FARDC","FARDC - Pas d’ingérence constatée","Permanent","0",,,"0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2369,1806,1806,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine00841","Kaitolea Cabangi","2015-07-16",1,,"0101000020E610000051EEB06052CD3C4096701C79D35D00C0",28.802038233943964,-2.0458135091594825,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Mbinga Sud","Cabangi",46,,,0,1,"Or","Nyawaronga","Bukavu",,,,,,,"0",0,0,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2370,1807,1807,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine00875","Bishaka","2015-07-16",1,,"0101000020E61000007BC296721DDA3C4084675FFE913EFEBF",28.852011834913792,-1.8902759491379308,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Ziralo","Nyalusa, Gali",15,,,0,1,"Or","Shanje, Numbi","Bukavu",,,,,,,"0",0,0,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2371,1808,1808,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01202","Kalunga kibinda","2015-07-16",1,,"0101000020E6100000D13FC1C58A4E3C406479573D608E17C0",28.306805,-5.889039,"GPS","Tanganyika","Katanga","Kalemie","Benze","Kyoko nyumba","Kalunga kibinda",19,,,0,1,"Or","Kalemie, Bukavu","Kalemie",,,,,,,"0",0,0,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM",,,,,,0,,0,
2372,1809,1809,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01810","Etoile","2015-07-16",1,,"0101000020E6100000339C5A91AB9F3A40FAF202ECA313FF3F",26.6237116667,1.942295,"GPS","Tshopo","orientale","Bafwasende","Bafwandaka","Betingembi","Bafwanzama",108,,,0,1,"Or","Singa Mwambe","Butembo",,,,,,,"0",1,1,"FARDC","FARDC - Éléments indisciplinés","Une fois par mois","1",,,"1","0","0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines","Environnement","Collectivité locale",,,0,,1,"Vendre, Prostitution"
2373,1810,1810,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01850","NYauta","2015-07-16",1,,"0101000020E61000009FE5797077BE3B4062F3716DA8380EC0",27.74401,-3.777665,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Wakabango","Ikama-Kasanza","Kita zaire",10,,,0,1,"Or",,"Bukavu",,,,,,,"0",1,1,"FARDC","FARDC - Éléments indisciplinés","Une fois par mois","1",,,"0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2374,1811,1811,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01859","Vatican","2015-07-16",1,,"0101000020E6100000F4252C16ACC23B403C4FA7B9EF2B0EC0",27.7604383333,-3.7714533333,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Wakabango","Ikama-Kasanza","Kabilongo",12,,,0,1,"Or",,"Bukavu",,,,,,,"0",1,1,"FARDC","FARDC - Éléments indisciplinés","Permanent","1",,,"0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2375,1812,1812,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine00713","Kabitako","2015-07-17",1,,"0101000020E610000065A3081698B73B40201DC913F9EB0CC0",27.717164399250937,-3.6152211709737827,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Wakabango","Ikama-Kasanza","Ngoy",50,,,0,1,"Or",,"Bukavu",,,,,,,"0",1,0,"FARDC","FARDC - Pas d’ingérence constatée","Une fois par mois","0",,,"0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2376,1813,1813,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine00849","Misumari 2","2015-07-17",1,,"0101000020E6100000BD9249E9DEE63C406F84C3199864FCBF",28.901838856184202,-1.7745591169735027,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Buzi","Numbi",8,,,1,0,"Cassitérite","Numbi","Bukavu","Coltan","Numbi","Bukavu",,,,,0,0,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2377,1814,1814,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01797","Apati","2015-07-17",1,,"0101000020E6100000AC1C5A643B9F3B404260E5D022DB0BC0",27.622,-3.482,"Approximation","Sud-Kivu","Sud-Kivu","Shabunda","Wakabango","Ikama-Kasanza","Tabufa2",35,,,1,0,"Cassitérite",,"Bukavu",,,,,,,,1,0,"FARDC","FARDC - Pas d’ingérence constatée","Une fois par mois","0",,,"0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2378,1815,1815,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01798","Atope solola bien","2015-07-17",1,,"0101000020E6100000F12E17F19D903A40719210EBA025FE3F",26.56491,1.8841866667,"GPS","Tshopo","orientale","Bafwasende","Bafwandaka","Betingembi","Bafwayabo",140,,,0,1,"Or","Bafwazio","Kisangani, Butembo",,,,,,,"0",1,1,"FARDC","FARDC - Éléments indisciplinés","Une fois par mois","1",,,"1","0","0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines","Environnement",,,,0,,1,"Vendre, Tâches ménagères, prostitution."
2379,1816,1816,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01842","Mutasa","2015-07-17",1,,"0101000020E610000089013AA76CBF3B40CFF753E3A55B0EC0",27.7477516667,-3.79475,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Wakabango","Ikama-Kasanza","Mutasa",5,,,0,1,"Or",,"Bukavu",,,,,,,"0",1,1,"FARDC","FARDC - Éléments indisciplinés","Une fois par mois","1",,,"0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2380,1817,1817,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01844","Ngombe bilunga","2015-07-17",1,,"0101000020E610000042CF66D5E7C23B40751F80D4262E0EC0",27.76135,-3.772535,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Wakabango","Ikama-Kasanza","Canada",10,,,0,1,"Or",,"Bukavu",,,,,,,"0",1,0,"FARDC","FARDC - Pas d’ingérence constatée","Permanent","0",,,"0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,1,,1,"Vendre"
2381,1818,1818,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01853","Filon I","2015-07-17",1,,"0101000020E6100000D4F99B5F94E43C40D563C3B84B5CFCBF",28.89288899953847,-1.7725331513704436,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Buzi","Numbi",5,,,1,0,"Cassitérite","Numbi","Bukavu","Coltan","Numbi","Goma",,,,,0,0,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2382,1819,1819,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01854","Rukore","2015-07-17",1,,"0101000020E610000066834C3272E63C4066BFEE74E789FCBF",28.90018,-1.783668,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Buzi","Numbi",25,,,1,0,"Coltan","Numbi","Bukavu",,,,,,,,0,0,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2383,1820,1820,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01856","Tchangobo","2015-07-17",1,,"0101000020E6100000C2AEFEF48CB23B4084A894F9340410C0",27.6974633333,-4.0041083333,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Wakabango","Ikama-Kasanza","Lubinga",7,,,0,1,"Or",,"Bukavu",,,,,,,"0",1,1,"FARDC","FARDC - Éléments indisciplinés","Une fois par mois","1",,,"0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2384,1821,1821,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01799","Badolite","2015-07-18",1,,"0101000020E610000097859EA87FC33B4022AA8515942F0EC0",27.7636666667,-3.7732316667,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Wakabango","Ikama-Kasanza","Kabilongo",50,,,0,1,"Or",,"Bukavu",,,,,,,"0",1,1,"FARDC","FARDC - Éléments indisciplinés","Permanent","1",,,"0","1","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2385,1822,1822,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01801","Bon Samaritain","2015-07-18",1,,"0101000020E61000004FF4D1CE568B3A40E40F069E7B4FFE3F",26.5442933333,1.894405,"GPS","Tshopo","orientale","Bafwasende","Bafwandaka","Betingembi","Bafwazoko",91,,,0,1,"Or","Bafwazio","Kisangani, Butembo",,,,,,,"0",1,1,"FARDC","FARDC - Éléments indisciplinés","Une fois par mois","1",,,"1","0","0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines","Collectivité secteur",,,,0,,1,"Vendre, Tâches ménagères et prostitution"
2386,1823,1823,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01820","Kakamba/Kamenze","2015-07-18",1,,"0101000020E61000002D0FAAF917963B40363BE72A03140CC0",27.5863033333,-3.5097716667,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Wakabango","Ikama-Kasanza","Tabuta2",2,,,1,0,"Cassitérite",,"Bukavu",,,,,,,,1,0,"FARDC","FARDC - Pas d’ingérence constatée","Une fois par mois","0",,,"0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2387,1824,1824,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01829","Kitatenge","2015-07-18",1,,"0101000020E6100000BFB02A3967373B40FC3F875540140EC0",27.216418812677826,-3.759888332548142,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Wakabango","Nkulu","Kamba nyama",5,,,0,1,"Or",,"Bukavu",,,,,,,"0",1,0,"FARDC","FARDC - Pas d’ingérence constatée","Une fois par mois","0",,,"0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2388,1825,1825,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine00845","Chez Madame","2015-07-19",1,,"0101000020E61000002597F11B4FE23C401B5012C89F83FCBF",28.884019609910997,-1.7821348014158562,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Buzi","Numbi",100,,,0,0,"Tourmaline","Numbi","Goma",,,,,,,,0,0,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2389,1826,1826,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine00855","Lumbishi","2015-07-19",1,,"0101000020E6100000F2ECF2AD0FCF3C407E022846964CFCBF",28.808833,-1.768698,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Buzi","Lumbishi",500,,,0,1,"Tourmaline","Numbi","Goma","Or","Numbi","Bukavu",,,,"0",0,0,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2390,1827,1827,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01802","Camps kisimba","2015-07-19",1,,"0101000020E61000000DEB9E6157C43B40376D31BC6C2E0EC0",27.7669583333,-3.7726683333,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Wakabango","Ikama-Kasanza","Canada",7,,,0,1,"Or",,"Bukavu",,,,,,,"0",1,1,"FARDC","FARDC - Éléments indisciplinés","Permanent","1",,,"0","1","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2391,1828,1828,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01811","Grace a Dieu/Bethléhem","2015-07-19",1,,"0101000020E61000008FD27D257D973A401095702724ACFD3F",26.5917533333,1.8545266667,"GPS","Tshopo","orientale","Bafwasende","Bafwandaka","Betingembi","Bafwayabo",76,,,0,1,"Or","Bafwazio","Kisangani, Butembo",,,,,,,"0",1,1,"FARDC","FARDC - Éléments indisciplinés","Une fois par mois","1",,,"1","0","0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines","Environnement","Collectivité secteur",,,0,,1,"Vendre, Tâches ménagères et prostitution"
2392,1829,1829,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01821","Kanana","2015-07-19",1,,"0101000020E61000000FF93FAC24933A40CF17A58AF5A0FD3F",26.5747783333,1.8517966667,"GPS","Tshopo","orientale","Bafwasende","Bafwandaka","Betingembi","Bafwazio",82,,,0,1,"Or","Bafwazio","Butembo, Kisangani",,,,,,,"0",1,1,"FARDC","FARDC - Éléments indisciplinés","Une fois par mois","1",,,"1","0","0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,1,,1,"Vendre, Tâches ménagères et prostitution"
2393,1830,1830,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01861","Wamyuba","2015-07-19",1,,"0101000020E6100000355EBA490C223B409EEFA7C64B370CC0",27.133,-3.527,"Approximation","Sud-Kivu","Sud-Kivu","Shabunda","Wakabango","Nkulu","Kipombo",70,,,0,1,"Or",,"Bukavu",,,,,,,"0",1,1,"Raïa Mutomboki","Groupe armé local","Permanent","1",,,"0","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,1,,1,"Creuser à ciel ouvert, Transporter, Laver, Vendre"
2394,1831,1831,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine00837","Lijiwe","2015-07-20",1,,"0101000020E6100000ACF7BF98E3C83C40C826E2BCE98600C0",28.784722849719103,-2.065875507022472,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Mbinga Sud","Nyawaronga",27,,,1,0,"Cassitérite","Lijiwe","Bukavu",,,,,,,,1,0,"FARDC","FARDC - Pas d’ingérence constatée","Permanent","0",,,"0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2395,1832,1832,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine00846","Central","2015-07-20",1,,"0101000020E61000009466FF2CC4E33C400C8DE2106B48FCBF",28.88971215472573,-1.7676802310532507,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Buzi","Numbi",150,,,1,0,"Tourmaline","Numbi","Goma","Cassitérite","Numbi","Goma",,,,,0,0,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2396,1833,1833,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine00850","Mungwe","2015-07-20",1,,"0101000020E61000001EF98381E7E63C4062105839B448FCBF",28.90197,-1.76775,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Buzi","Numbi",12,,,1,0,"Coltan","Numbi","Bukavu",,,,,,,,0,0,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Division des mines",,,,,,0,,0,
2397,1834,1834,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01812","Grace a Dieu/Marceline","2015-07-20",1,,"0101000020E6100000D68547F61BA83A40E59ED84990E4FC3F",26.6566766667,1.8058016667,"GPS","Tshopo","orientale","Bafwasende","Bafwandaka","Betingembi","Bafwazio",117,,,0,1,"Or","Bafwazio","Kisangani, Butembo",,,,,,,"0",1,1,"FARDC","FARDC - Éléments indisciplinés","Une fois par mois","1",,,"1","0","0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines","Collectivité secteur","Environnement",,,0,,1,"Vendre, Tâches ménagères et prostitution"
2398,1835,1835,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01848","Nyakwagiagia/Kambanyama","2015-07-20",1,,"0101000020E6100000B41E556C6C343B40DC22155464F40DC0",27.204779406338915,-3.744331986327195,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Wakabango","Nkulu","Mulungu",6,,,0,1,"Or",,"Bukavu",,,,,,,"0",1,0,"FARDC","FARDC - Pas d’ingérence constatée","Une fois par mois","0",,,"0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2399,1836,1836,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01851","Paradis","2015-07-20",1,,"0101000020E6100000C72E51BD35A43A40B0E600C11CFDFC3F",26.641445,1.811795,"GPS","Tshopo","orientale","Bafwasende","Bafwandaka","Betingembi","Bafwazio",97,,,0,1,"Or","Bafwazio","Butembo, Kisangani",,,,,,,"0",1,1,"FARDC","FARDC - Éléments indisciplinés","Une fois par mois","1",,,"1","0","0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines","Collectivité secteur","Environnement",,,0,,1,"Vendre, Tâches ménagères et prostitution"
2400,1837,1837,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine01860","Vatican","2015-07-20",1,,"0101000020E610000087C43D963E9C3B40533B2E277B5E0CC0",27.61033,-3.5461333333,"Approximation","Sud-Kivu","Sud-Kivu","Shabunda","Wakabango","Ikama-Kasanza","Kukungu",10,,,1,0,"Cassitérite",,"Bukavu",,,,,,,,1,0,"FARDC","FARDC - Pas d’ingérence constatée","Une fois par mois","0",,,"0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2401,1838,1838,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine00865","Tchea","2015-07-22",1,,"0101000020E61000003B3602F1BAD63C408369183E22A6FDBF",28.83879,-1.85306,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Ziralo","Nyarugusha, Gali",20,,,0,1,"Or","Shanje, Numbi","Bukavu",,,,,,,"0",0,0,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
2402,1839,1839,"IPIS - Ministère des Mines","IPIS - IOM PROMINES 2015","codmine00876","Madugudu","2015-07-22",1,,"0101000020E61000003D1C4C9EC5D53C40713A9FFB5FDBFEBF",28.8350466667,-1.9285583333,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Ziralo","Fwangere, Lusisa",20,,,0,1,"Or","Shanje, Numbi","Bukavu",,,,,,,"0",0,0,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAESSCAM","Division des mines",,,,,0,,0,
