"vid","cid","id","source","project","pcode","name","visit_date","visit_onsite","visit_onsite_novisitreason","geom","longitude","latitude","location_origin","province","province_old","territoire","collectivite","groupement","village","workers_numb","access_dry","access_wet","is_3t_mine","is_gold_mine","mineral1","selling_points_mineral1","final_destination_mineral1","mineral2","selling_points_mineral2","final_destination_mineral2","mineral3","selling_points_mineral3","final_destination_mineral3","mercury","presence","interference","armed_group1","type_armed_group1","frequency_armed_group1","taxation_armed_group1","commerce_taxation_armed_group1","entrance_taxation_armed_group1","monopoly_armed_group1","buying_minerals_armed_group1","digging_armed_group1","forced_labour_armed_group1","pillaging_armed_group1","pit_ownership_armed_group1","armed_group2","type_armed_group2","frequency_armed_group2","taxation_armed_group2","commerce_taxation_armed_group2","entrance_taxation_armed_group2","monopoly_armed_group2","buying_minerals_armed_group2","digging_armed_group2","forced_labour_armed_group2","pillaging_armed_group2","pit_ownership_armed_group2","armed_group3","type_armed_group3","frequency_armed_group3","taxation_armed_group3","commerce_taxation_armed_group3","entrance_taxation_armed_group3","monopoly_armed_group3","buying_minerals_armed_group3","digging_armed_group3","forced_labour_armed_group3","pillaging_armed_group3","pit_ownership_armed_group3","mechanisation","state_service1","state_service2","state_service3","state_service4","traceability","qualification","childunder15","childunder15work","women","womenwork"
6513,4906,719,"IPIS","IPIS - Madini","codmine00111","Sandra Centre","2022-09-17",1,,"0101000020E6100000F342EEB4B54C3E4095D475B16B9DFB3F",30.299647625130955,1.7259327823678963,"GPS","Ituri","Orientale","Djugu","Bahema Baguru","Ndjou","Sawe",69,"carmoto","carmoto",0,1,"Or","Iga Barrière","Bunia",,,,,,,"0",0,0,,"Aucun",,,,,,,,,,,,"Aucun",,,,,,,,,,,,"Aucun",,,,,,"0",,,,,"Moyen",,,,,,,1,"Creuser, Lavage, Transport des minerais",1,"Creuser, Lavage, Transport des minerais"
6514,4907,822,"IPIS","IPIS - USAID","codmine04165","Kisasa1","2022-09-17",1,,"0101000020E6100000BA30D28BDAC13B40A454C2137A9D06C0",27.757241,-2.826893,"GPS","Sud-Kivu",,"Shabunda","Bakisi","Baliga","Musanga, Lukamba, Kisasa",500,"more2h","more2h",1,1,"Or","Kamulila ,shabunda Centre et kisasa1","Bkv, Goma","Cassitérite",,,,,,"1",1,1,"FARDC","FARDC - Éléments indisciplinés","Quotidien","1",1,,"1","0","0","0","0","0","Police Nationale Congolaise (sauf PMH)","PNC - Éléments indisciplinés","Aléatoire","1",0,,"0","0","0","0","0","0",,"Aucun",,,,,,,,,,,"Haut","SAESSCAM","Division des mines","Anti-fraude","Chefferie",,,0,,0,
6515,4908,720,"IPIS","IPIS - Madini","codmine00074","Masikini","2022-09-18",0,"Conditions climatiques","0101000020E61000005D33F9669BF33C40B8AF03E78C28F43F",28.95159,1.2599,"GPS","Ituri","Orientale","Mambasa","Mambasa","Nyangwe","Kilima Mweza",40,"less2h","less2h",0,1,"Or","Kilima Mweza","Bunia",,,,,,,"0",0,0,,"Aucun",,,,,,,,,,,,"Aucun",,,,,,,,,,,,"Aucun",,,,,,"0",,,,,"Moyen","SAESSCAM","Division des mines",,,,,1,"Creuser, Lavage, Traiter les déchets",0,
6516,4909,721,"IPIS","IPIS - Madini","codmine04187","Visa","2022-09-18",1,,"0101000020E6100000B0726891ED4C3E40D0D556EC2FBBFB3F",30.3005,1.7332,"GPS","Ituri","Orientale","Djugu","Bahema-Baguru","Lingo","Vis-À-Vis, Sawe 1",170,"carmoto","carmoto",0,1,"Or","Iga Barrière","Bunia",,,,,,,"0",0,0,,"Aucun",,,,,,,,,,,,"Aucun",,,,,,,,,,,,"Aucun",,,,,,"0",,,,,"Moyen","SAESSCAM","Division des mines","Chefferie",,,,1,"Creuser, Lavage, Transport des minerais",1,"Creuser, Lavage, Transport des minerais"
6517,4910,722,"IPIS","IPIS - Madini","codmine00850","Mungwe","2022-09-19",1,,"0101000020E61000001EF98381E7E63C4062105839B448FCBF",28.90197,-1.76775,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Buzi","Numbi",42,"less2h","less2h",1,0,"Coltan","Numbi","Bukavu",,,,,,,,1,1,"Police des Mines (PMH)","PMH - Éléments indisciplinés","Aléatoire","1",0,0,"0","0","0","0","0","0",,"Aucun",,,,,,,,,,,,"Aucun",,,,,,"0",,,,,"Moyen","SAESSCAM","Division des mines",,,"iTSCI",,0,,0,
6518,4911,723,"IPIS","IPIS - Madini","codmine03641","Ruhuwe","2022-09-19",1,,"0101000020E610000060119F17CAE73C409385C27AB661FCBF",28.90542743333333,-1.7738556666666667,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu",,"Numbi",30,"less2h","less2h",1,0,"Coltan","Numbi","Bukavu",,,,,,,,1,1,"Police des Mines (PMH)","PMH - Éléments indisciplinés","Aléatoire","1",0,0,"0","0","0","0","0","0",,"Aucun",,,,,,,,,,,,"Aucun",,,,,,"0",,,,,"Moyen","SAESSCAM","Division des mines",,,"iTSCI",,0,,0,
6519,4912,824,"IPIS","IPIS - USAID","codmine04167","Mpusya kisasa3/Nganya","2022-09-19",1,,"0101000020E610000040E48810B2C33B401BCF0C874AD806C0",27.7644358,-2.8556109,"GPS","Sud-Kivu",,"Shabunda","Bakisi","Baliga","Kisasa, Bujumbura, Kampompo",200,"more2h","more2h",0,1,"Or","Shabunda Centre et kamituga","Bukavu, Goma",,,,,,,"1",1,1,"FARDC","FARDC - Éléments indisciplinés","Une fois par semaine","1",1,,"0","0","0","0","0","0",,"Aucun",,,,,,,,,,,,"Aucun",,,,,,,,,,,"Haut","SAESSCAM","Division des mines","Chefferie","DGI",,,0,,0,
6520,4913,724,"IPIS","IPIS - Madini","codmine00848","Biriki","2022-09-20",1,,"0101000020E61000002B306475ABE73C40293FA9F6E978FCBF",28.90496,-1.77952,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Buzi","Numbi",0,"less2h","less2h",1,0,"Cassitérite","Numbi","Bukavu","Coltan",,,,,,,0,0,,"Aucun",,,,,,,,,,,,"Aucun",,,,,,,,,,,,"Aucun",,,,,,"0",,,,,"Bas",,,,,"iTSCI",,0,,0,
6521,4914,725,"IPIS","IPIS - Madini","codmine02715","Mandimo 2","2022-09-20",1,,"0101000020E610000003098A1F63EE3C40105839B4C876F33F",28.9312,1.2165,"GPS","Ituri","Orientale","Mambasa","Mambasa","Nyangwe","Kilima Mweza",35,"less2h","less2h",0,1,"Or","Kilima Mweza, Biondo","Bunia",,,,,,,"0",1,0,"FARDC","FARDC - Pas d’ingérence constatée","Une fois tous les 15 jours","0",0,0,"0","0","0","0","0","0",,"Aucun",,,,,,,,,,,,"Aucun",,,,,,"0",,,,,"Bas","SAESSCAM","Division des mines",,,,,1,"Creuser, Lavage, Traiter les déchets",0,
6522,4915,825,"IPIS","IPIS - USAID","codmine04168","Lukamba milrmbe","2022-09-20",1,,"0101000020E6100000681B24E93FC83B40A36428DD4CBB06C0",27.7822252,-2.8414552,"GPS","Sud-Kivu",,"Shabunda","Bakisi","Baliga","Kisasa, Bujumbura, Kaziba",100,"more2h","more2h",0,1,"Or","Shabunda Centre,kamulilo et kamituga","Bukavu, Goma",,,,,,,"1",1,1,"FARDC","FARDC - Éléments indisciplinés","Quotidien","1",1,,"1","0","0","0","0","0","Police Nationale Congolaise (sauf PMH)","PNC - Éléments indisciplinés","Aléatoire","1",0,,"0","0","0","0","0","0",,"Aucun",,,,,,,,,,,"Moyen","SAESSCAM","Division des mines","Chefferie","DGI",,,1,"Creuser, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure",0,
