"vid","id","source","project","pcode","name","visit_date","visit","novisit_reason","geom","longitude","latitude","location_origin","prefecture","sousprefecture","commune","village","chantiers_numb","workers_numb","workers_women","workers_women_work_type","childunder15","childunder15_work_type","minerals","minerals_diamant","minerals_or","minerals_autre","production_destination","services1_name","services1_frequency","services2_name","services2_frequency","services3_name","services3_frequency","actor_type","actor1name","actor1name_frequency","actor1name_tax","actor1name_pillage","actor1name_forcedlabour","actor1name_buyminerals","actor1name_digging","actor1name_monopoly","actor2name","actor2name_frequency","actor2name_tax","actor2name_pillage","actor2name_forcedlabour","actor2name_buyminerals","actor2name_digging","actor2name_monopoly","actor3name","actor3name_frequency","actor3name_tax","actor3name_pillage","actor3name_forcedlabour","actor3name_buyminerals","actor3name_digging","actor3name_monopoly","roadblocks","roadblocks_actor","environment_water_change","environment_deforestation","conflict_category","conflict_type","accident_injured","accident_dead"
731,258,"IPIS","IPIS - Covid19 2020","cafmine00318","Rombi","2020-10-29",0,"Appel telephonique - Covid19","0101000020E610000023DBF97E6A9C2D40105839B4C8361640",14.8055,5.5535,"Approximation","Nana-Mambéré","Baboua","Baboua","Bera-Boyere",,355,65,,86,,"Or",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,259,"IPIS","IPIS - Covid19 2020","cafmine00319","Gbapoka","2020-10-29",0,"Appel telephonique - Covid19","0101000020E6100000EB73B515FBAB2D40BB44F5D6C0F61640",14.8359,5.74097,"Approximation","Nana-Mambéré","Baboua","Baboua","Bera-Boyere",,120,27,,42,,"Or",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,182,"IPIS","IPIS - Covid19 2020","cafmine00119","Lopo","2020-10-30",0,"Appel telephonique - Covid19","0101000020E61000008C8F276E02153040CCB4FD2B2BAD0C40",16.0820683333,3.584555,"GPS","Sangha-Mbaéré","Nola","Nola","Lopo",,400,80,,35,,"Diamant",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,183,"IPIS","IPIS - Covid19 2020","cafmine00122","Ngola1","2020-10-30",0,"Appel telephonique - Covid19","0101000020E6100000AA202E14C3243040AA656B7D91D00940",16.1436016667,3.22684,"GPS","Sangha-Mbaéré","Nola","Salo","Nolan 2 & 3",,25,0,,0,,"Diamant",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,184,"IPIS","IPIS - Covid19 2020","cafmine00126","Yanguénda","2020-10-30",0,"Appel telephonique - Covid19","0101000020E6100000F5BEF1B5673230400856401ED4F80D40",16.196895,3.7464983333,"GPS","Sangha-Mbaéré","Nola","Nola","Mboussa",,40,0,,0,,"Diamant",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,185,"IPIS","IPIS - Covid19 2020","cafmine00127","Liboko","2020-10-30",0,"Appel telephonique - Covid19","0101000020E6100000F1D7648D7A7C3040BAC1E534312A0C40",16.486245,3.5206016667,"GPS","Sangha-Mbaéré","Nola","Nola","Liboko",,4,0,,0,,"Diamant",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,32,"IPIS","IPIS - Covid19 2020","cafmine00267","Sanda","2020-10-30",0,"Appel telephonique - Covid19","0101000020E6100000F2E318DA13C72E40C32ADEC83CA21440",15.3888233333,5.158435,"GPS","Nana-Mambéré","Abba","Nadziboro","Sanda1",,60,10,,0,,"Diamant, Or",1,1,0,,,,,,,,"autodefense","Anti-balaka","permanent",0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
738,37,"IPIS","IPIS - Covid19 2020","cafmine00284","Mambéré Ndongué","2020-10-30",0,"Appel telephonique - Covid19","0101000020E61000006451C1F2FA1E2F4019F06069F3821440",15.5605083333,5.1278816667,"GPS","Nana-Mambéré","Abba","Nadziboro","Ndongué",,150,30,,10,,"Diamant",1,0,0,,,,,,,,"autodefense","Anti-balaka","permanent",0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
739,56,"IPIS","IPIS - Covid19 2020","cafmine00123","Ngola1","2020-10-31",0,"Appel telephonique - Covid19","0101000020E610000079294D6F6C23304062105839B4C80940",16.1383733333,3.223,"GPS","Sangha-Mbaéré","Nola","Salo","Ngola1",,30,0,,0,,"Diamant",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,57,"IPIS","IPIS - Covid19 2020","cafmine00124","Mayembé","2020-10-31",0,"Appel telephonique - Covid19","0101000020E61000002861A6ED5F393040F2D1773A7D4A0C40",16.22412,3.5363716667,"GPS","Sangha-Mbaéré","Nola","Nola","Mangolo",,12,0,,0,,"Diamant",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,58,"IPIS","IPIS - Covid19 2020","cafmine00125","Belemboke","2020-10-31",0,"Appel telephonique - Covid19","0101000020E61000009B030473F438304093ADC35420200B40",16.22248,3.3906866667,"GPS","Sangha-Mbaéré","Nola","Nola","Belemboke",,25,0,,0,,"Diamant",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,59,"IPIS","IPIS - Covid19 2020","cafmine00129","Docko","2020-10-31",0,"Appel telephonique - Covid19","0101000020E610000076839007352230408673788518C20940",16.1336216667,3.2197733333,"GPS","Sangha-Mbaéré","Nola","Salo","Docko",,6,0,,0,,"Diamant",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,89,"IPIS","IPIS - Covid19 2020","cafmine00167","Lobe","2020-10-31",0,"Appel telephonique - Covid19","0101000020E6100000031BFF19B85A314054602FF2C5311140",17.3543716667,4.2986066667,"GPS","Lobaye","Boda","Lobaye","Dana-Bofi",,150,0,,0,,"Diamant",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,78,"IPIS","IPIS - Covid19 2020","cafmine00170","Bekombo","2020-10-31",0,"Appel telephonique - Covid19","0101000020E610000011BB9F6485B52F4042FA54F32F9C1240",15.8545333333,4.6525266667,"GPS","Mambéré-Kadéï","Berbérati","Haute-Batouri","Nadombo",,100,10,,0,,"Diamant",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
