"vid","id","source","project","pcode","name","visit_date","visit","novisit_reason","geom","longitude","latitude","location_origin","prefecture","sousprefecture","commune","village","chantiers_numb","workers_numb","workers_women","workers_women_work_type","childunder15","childunder15_work_type","minerals","minerals_diamant","minerals_or","minerals_autre","production_destination","services1_name","services1_frequency","services2_name","services2_frequency","services3_name","services3_frequency","actor_type","actor1name","actor1name_frequency","actor1name_tax","actor1name_pillage","actor1name_forcedlabour","actor1name_buyminerals","actor1name_digging","actor1name_monopoly","actor2name","actor2name_frequency","actor2name_tax","actor2name_pillage","actor2name_forcedlabour","actor2name_buyminerals","actor2name_digging","actor2name_monopoly","actor3name","actor3name_frequency","actor3name_tax","actor3name_pillage","actor3name_forcedlabour","actor3name_buyminerals","actor3name_digging","actor3name_monopoly","roadblocks","roadblocks_actor","environment_water_change","environment_deforestation","conflict_category","conflict_type","accident_injured","accident_dead"
109,74,"IPIS","IPIS - TetraTech 2019","cafmine00074","Gbata","2019-05-05",1,,"0101000020E6100000FE60E0B9F75C30404FBD9CB7C4041740",16.363155,5.7546566667,"GPS","Nana-Mambéré","Baoro","Bawi Tédoa","Dobere",1,25,8,"Creuser, Concasser, Laver, Transporter, Traiter",7,"Creuser, Traiter, Autres activités","Diamant, Or, Argent",1,1,1,"Dobéré, Baoro","Brigade minière (USAF)","aleatoire",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,0,"extension etayement",,,0,0
110,72,"IPIS","IPIS - TetraTech 2019","cafmine00072","Tedoa 5","2019-05-06",1,,"0101000020E61000007BEC56AA1E7F30409CA223B9FCE71540",16.4965616667,5.47655,"GPS","Nana-Mambéré","Baoro","Bawi Tédoa","Tedoa 5",1,8,4,"Creuser, Laver, Autres activités",0,,"Or",0,1,0,"Yaloké, Bossemptele",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"etayement extension chauffage",,,0,0
111,73,"IPIS","IPIS - TetraTech 2019","cafmine00073","Tedoa 5","2019-05-06",1,,"0101000020E6100000DC80CF0F23803040C3AC7E4AA8E31540",16.500535,5.4723216667,"GPS","Nana-Mambéré","Baoro","Bawi Tédoa","Tedoa5",1,28,13,"Laver, Autres activités",0,,"Diamant, Or",1,1,0,"Yaloké, Bossemptele","Brigade minière (USAF)","aleatoire",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"etayement extension chauffage",,,0,0
112,75,"IPIS","IPIS - TetraTech 2019","cafmine00075","Tedoa","2019-05-06",1,,"0101000020E610000006C6D2AC598030402DC17B6977D51540",16.5013683333,5.4584633333,"GPS","Nana-Mambéré","Baoro","Bawi Tédoa","Gbatrowe",2,12,2,"Creuser, Laver, Traiter",3,"Creuser, Laver, Traiter","Diamant, Or",1,1,0,"Yaloké, Bossemptele",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,0,"extension etayement",,,0,0
113,76,"IPIS","IPIS - TetraTech 2019","cafmine00076","Tedoa","2019-05-06",1,,"0101000020E610000040B654B96380304042DE444FB7D91540",16.5015216667,5.4626133333,"GPS","Nana-Mambéré","Baoro","Bawi Tédoa","Gbatrowe",1,62,7,"Creuser, Laver, Transporter, Traiter",8,"Creuser, Laver, Traiter","Or",0,1,0,"Bossemptele",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,0,"etayement",,,0,0
114,77,"IPIS","IPIS - TetraTech 2019","cafmine00077","Tedoa 5","2019-05-06",1,,"0101000020E61000001C6AEC370080304030AC49953BE61540",16.5000033333,5.4748366667,"GPS","Nana-Mambéré","Baoro","Bawi Tédoa","Tedoa5",2,20,2,"Creuser, Laver, Traiter",5,"Creuser, Traiter","Diamant, Or, Argent",1,1,1,"Tédoa, Bossemptele, Bangui",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,1,"Gendarmerie",0,"extension",,,0,0
115,81,"IPIS","IPIS - TetraTech 2019","cafmine00081","Yenguere","2019-05-06",1,,"0101000020E6100000C0EAC891CE582F401D740987DEC21B40",15.673451,6.940302,"Approximation","Ouham-Pendé","Bocaranga","Péndé","Yenguere",1,60,25,"Creuser sous terre, Laver, Transporter",15,"Laver, Transporter, Autres activités","Or",0,1,0,"Garoua Boulaï, Mbai Mboum","Autorités locales ou coutumières","aleatoire","Services de santé","trois_mois",,,"groupe_arme","3R","aleatoire",0,0,,0,,0,,,,,,,,,,,,,,,,,1,"FACA",1,"etayement extension chauffage","Conflit lié à l’exploitation artisanale, Conflit avec des acteurs extérieurs au site","Conflits de limites, Litige de propriété entre chantiers sur le même site, Conflits avec des groupes armés non-étatiques",0,0
116,82,"IPIS","IPIS - TetraTech 2019","cafmine00082","Gaga","2019-05-06",1,,"0101000020E610000036CEA62380332F404CC79C67EC1B1B40",15.600587,6.777269,"Approximation","Ouham-Pendé","Bocaranga","Bocaranga","Santoine",1,100,50,"Concasser, Laver, Transporter",10,"Laver, Transporter","Or",0,1,0,"Garoua Boulaï, Mbai Mboum","Services de santé","trois_mois","Autorités locales ou coutumières","aleatoire",,,"autodefense groupe_arme","3R","permanent",0,0,,0,,0,"Anti-balaka",,,,,,,,,,,,,,,,0,,1,"extension chauffage etayement","Conflit avec des acteurs extérieurs au site","Conflits avec éleveurs, Conflits avec les autorités, Conflits avec des groupes armés non-étatiques",8,0
117,110,"IPIS","IPIS - TetraTech 2019","cafmine00110","Gomion","2019-05-06",1,,"0101000020E61000004DED34AD27093140078B5C92F0DA1540",17.0357616667,5.4638083333,"GPS","Ombella-M'Poko","Yaloké","Guézéli","Gomion",25,500,300,"Concasser, Laver, Transporter",50,"Creuser, Concasser, Laver, Transporter","Or",0,1,0,"Yaloké, Bangui, Garoua Boulaï",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,20,0
118,111,"IPIS","IPIS - TetraTech 2019","cafmine00111","Ngbaï","2019-05-06",1,,"0101000020E61000008AABCABE2B0A31404F4E1BB3FFD41540",17.03973,5.4580066667,"GPS","Ombella-M'Poko","Yaloké","Guézéli","Gomion",25,300,100,"Creuser, Laver, Transporter, Traiter, Mercure",50,"Creuser, Laver, Transporter","Or",0,1,0,"Yaloké, Bangui, Garoua Boulaï",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,40,2
119,186,"IPIS","IPIS - TetraTech 2019","cafmine00186","Gbehingui","2019-05-06",1,,"0101000020E610000084BA48A12CB4304057772CB649A51A40",16.703806,6.661414,"Approximation","Ouham-Pendé","Paoua","Bimbi","Bowé",2,300,180,"Creuser, Creuser sous terre, Laver, Transporter, Traiter",60,"Laver, Transporter, Traiter","Or",0,1,0,"Bozoum, Bangui, Bossangoa","Autorités locales ou coutumières","aleatoire","Brigade minière (USAF)","an","Services de santé","trois_mois","0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension chauffage etayement",,,1,0
120,187,"IPIS","IPIS - TetraTech 2019","cafmine00187","Kobé","2019-05-06",1,,"0101000020E6100000812557B1F8AD3040B9533A58FF871A40",16.679576,6.63281,"Approximation","Ouham-Pendé","Bozoum","Dan-Gbabiri","Bodivo",2,200,100,"Creuser, Concasser, Laver, Transporter, Traiter",30,"Creuser, Laver, Transporter, Traiter","Or",0,1,0,"Bozoum","Brigade minière (USAF)","aleatoire","Services de santé","aleatoire",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"etayement extension chauffage","Conflit lié à l’exploitation artisanale","Conflits de limites, Conflits lié au vol, Conflits concernant le partage des gains, Conflits entre propriétaires et exploitants, Conflit entre assureurs et artisans",2,0
121,112,"IPIS","IPIS - TetraTech 2019","cafmine00112","Ngoué 15km De Gbapi","2019-05-07",0,"distance","0101000020E6100000E8137992745D314055C1A8A44EC01640",17.36506,5.6878,"Approximation","Ombella-M'Poko","Yaloké","Yaloké","Gbapi",15,80,20,"Concasser, Laver, Transporter",10,"Creuser, Concasser, Laver, Transporter","Or",0,1,0,"Yaloké, Bangui, Garoua Boulaï",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,12,0
122,113,"IPIS","IPIS - TetraTech 2019","cafmine00113","Gbapi","2019-05-07",1,,"0101000020E6100000DB45C0FC283D31409AF93C248F9A1640",17.2389066667,5.6509366667,"GPS","Ombella-M'Poko","Yaloké","Yaloké","Gbapi",60,200,60,"Laver, Transporter",40,"Creuser, Laver, Transporter","Or",0,1,0,"Yaloké, Bangui, Garoua Boulaï",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,0,0
123,114,"IPIS","IPIS - TetraTech 2019","cafmine00114","Nôn","2019-05-07",1,,"0101000020E6100000EA8A413BBA2C3140CD14A1B6207E1640",17.1747166667,5.6231716667,"GPS","Ombella-M'Poko","Yaloké","Yaloké","Gbapi",15,400,120,"Concasser, Laver, Transporter",50,"Creuser, Concasser, Laver, Transporter","Or",0,1,0,"Yaloké, Bangui, Garoua Boulaï",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,100,0
124,188,"IPIS","IPIS - TetraTech 2019","cafmine00188","Bourazo","2019-05-07",1,,"0101000020E6100000A3073E062BAE3040EAAEEC82C1A51A40",16.680344,6.661871,"Approximation","Ouham-Pendé","Paoua","Bimbi","Beguira",2,150,80,"Creuser, Laver, Transporter, Traiter",30,"Creuser, Laver, Transporter, Traiter","Or",0,1,0,"Bozoum, Garoua Boulaï, Mbai Mboum","Brigade minière (USAF)","an","Gendarmerie","aleatoire",,,"groupe_arme","Séléka rénovée","aleatoire",0,0,,0,,0,,,,,,,,,,,,,,,,,0,,1,"etayement chauffage extension","Conflit lié à l’exploitation artisanale","Conflits de limites, Conflits lié au vol, Conflits concernant le partage des gains, Conflits entre propriétaires et exploitants",0,4
125,189,"IPIS","IPIS - TetraTech 2019","cafmine00189","Gbehkara","2019-05-07",1,,"0101000020E61000007380608E1E933040CC41D0D1AA661A40",16.574685,6.600261,"Approximation","Ouham-Pendé","Paoua","Bimbi","Bavara",2,300,150,"Creuser, Laver, Transporter, Traiter",50,"Laver, Transporter, Traiter","Diamant, Or",1,1,0,"Bozoum, Bossangoa, Bangui","Autorités locales ou coutumières","aleatoire","Brigade minière (USAF)","trois_mois",,,"0","Braconnier","aleatoire",0,0,,0,,0,,,,,,,,,,,,,,,,,0,,1,"etayement extension chauffage","Conflit lié à l’exploitation artisanale, Conflit avec des acteurs extérieurs au site","Conflits lié au vol, Conflits avec éleveurs, Conflits concernant le partage des gains, Conflits entre propriétaires et exploitants, Conflit entre assureurs et artisans",0,0
126,115,"IPIS","IPIS - TetraTech 2019","cafmine00115","Gbamboé","2019-05-08",1,,"0101000020E61000005C4A858C5A20314071AC8BDB68801640",17.1263816667,5.6254,"GPS","Ombella-M'Poko","Yaloké","Yaloké","Gbamboé",100,300,130,"Creuser, Laver, Transporter",100,"Creuser, Laver, Transporter","Or",0,1,0,"Yaloké, Bangui, Garoua Boulaï",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,30,0
127,116,"IPIS","IPIS - TetraTech 2019","cafmine00116","Lèlè","2019-05-08",1,,"0101000020E61000002575029A081B31404CB5E8BFF4831640",17.1056,5.6288633333,"GPS","Ombella-M'Poko","Yaloké","Yaloké","Gbamboé",40,200,40,"Concasser, Laver, Transporter, Traiter",60,"Creuser, Laver, Transporter","Or",0,1,0,"Yaloké, Bangui, Garoua Boulaï",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,0,0
128,121,"IPIS","IPIS - TetraTech 2019","cafmine00121","Baya","2019-05-08",1,,"0101000020E61000002686CD110C9A2F40784FB70EFB2A1640",15.8008733333,5.5419733333,"GPS","Nana-Mambéré","Baoro","Yoro-Samba Bougoulou","Pâté",8,300,10,"Laver",30,"Laver","Diamant",1,0,0,"Bouar, Carnot",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,1,"Police",1,"etayement","Conflit lié à l’exploitation artisanale","Conflits concernant le partage des gains, Conflit entre assureurs et artisans",0,0
129,190,"IPIS","IPIS - TetraTech 2019","cafmine00190","Myskine","2019-05-08",1,,"0101000020E61000003A234A7B8397304017B83CD68C7C1A40",16.59185,6.621631,"Approximation","Ouham-Pendé","Paoua","Bimbi","Bavara",2,200,100,"Creuser, Laver, Transporter, Traiter",40,"Laver, Transporter, Traiter","Or",0,1,0,"Bozoum, Bossangoa, Bangui","Autorités locales ou coutumières","an","Brigade minière (USAF)","aleatoire",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"etayement extension chauffage",,,2,3
130,117,"IPIS","IPIS - TetraTech 2019","cafmine00117","Dérébononou","2019-05-09",1,,"0101000020E610000070E0FDCC33193140E79A303F4A5F1440",17.0984466667,5.0930566667,"GPS","Ombella-M'Poko","Yaloké","Yaloké","Sayèrè",120,600,100,"Laver, Transporter",20,"Creuser, Laver, Transporter","Diamant, Or",1,1,0,"Sayéré-Abbo, Yaloké, Garoua Boulaï",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,30,0
131,118,"IPIS","IPIS - TetraTech 2019","cafmine00118","Gbèïdouma","2019-05-09",1,,"0101000020E61000000AAD5FD54622314062CCC452375A1440",17.1338933333,5.0881016667,"GPS","Ombella-M'Poko","Yaloké","Yaloké","Sayèrè",150,1500,300,"Laver, Transporter",60,"Creuser, Laver, Transporter","Or",0,1,0,"Yaloké, Garoua Boulaï",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,100,0
132,119,"IPIS","IPIS - TetraTech 2019","cafmine00119","Lopo","2019-05-09",0,"climat","0101000020E61000008C8F276E02153040CCB4FD2B2BAD0C40",16.0820683333,3.584555,"GPS","Sangha-Mbaéré","Nola","Nola","Lopo",20,600,2,"Autres activités",40,"Creuser, Creuser sous terre, Traiter","Diamant, Or",1,1,0,"Bangui, Kenzo",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension etayement",,,2,0
133,173,"IPIS","IPIS - TetraTech 2019","cafmine00173","Kpâ","2019-05-10",1,,"0101000020E6100000609EA6BBD8453140D6BBA6E51AE91240",17.2728383333,4.7276416667,"GPS","Lobaye","Boganangone","Boganangone","Dolo",1,12,0,,1,"Creuser, Creuser sous terre, Concasser, Laver, Transporter","Diamant",1,0,0,"Zalingo",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,0,"extension chauffage",,,0,0
134,130,"IPIS","IPIS - TetraTech 2019","cafmine00130","Obo","2019-05-11",1,,"0101000020E6100000D7741577A95A3040BE9112DDA0531140",16.3541483333,4.3316683333,"GPS","Mambéré-Kadéï","Berbérati","Basse-Mambéré","Herdongo",5,56,20,"Transporter",5,"Autres activités","Diamant",1,0,0,"Berbérati",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,0,1
135,140,"IPIS","IPIS - TetraTech 2019","cafmine00140","Mbaere","2019-05-11",1,,"0101000020E6100000AB09A2EE03743040117008556A661140",16.453185,4.350015,"GPS","Mambéré-Kadéï","Carnot","Senkpa-Mbaéré","Liboukou",3,50,0,,0,,"Diamant",1,0,0,"Berbérati",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,0,"extension chauffage",,,0,0
136,144,"IPIS","IPIS - TetraTech 2019","cafmine00144","Béréngo","2019-05-11",1,,"0101000020E610000031074147AB8A30407B832F4CA6CA1240",16.541676,4.6979,"Approximation","Mambéré-Kadéï","Gadzi","Topia","Guengue",90,400,0,,0,,"Diamant",1,0,0,"Carnot, Berbérati, Bangui","Brigade minière (USAF)","aleatoire",,,,,"etatique","FACA",,,,,,,,,,,,,,,,,,,,,,,,0,,0,"extension chauffage",,,15,2
137,161,"IPIS","IPIS - TetraTech 2019","cafmine00161","Louame","2019-05-11",1,,"0101000020E610000072E1404816703140A0B57427C5741140",17.43784,4.3640333333,"GPS","Lobaye","Boda","Lobaye","Bobia",6,70,0,,30,"Creuser, Creuser sous terre, Concasser, Laver, Transporter, Traiter","Diamant, Or",1,1,0,,"Administration des mines","an",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension chauffage charbon","Conflit lié à l’exploitation artisanale","Conflits concernant le partage des gains, Conflit entre assureurs et artisans",14,0
138,176,"IPIS","IPIS - TetraTech 2019","cafmine00176","Tokoyeingue","2019-05-11",1,,"0101000020E61000001B4CC3F0113D3140C7C8C0DF42D11240",17.238555,4.7043566667,"GPS","Lobaye","Boganangone","Boganangone","Village Dolo Apres Zalingo",4,12,0,,2,"Laver, Transporter","Diamant, Or",1,1,0,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,0,0
139,145,"IPIS","IPIS - TetraTech 2019","cafmine00145","Panga Gbagoro","2019-05-12",1,,"0101000020E610000083B559D08E7E30401327F73B14651240",16.4943666667,4.59871,"GPS","Mambéré-Kadéï","Carnot","Senkpa-Mbaéré","Gbagoro",1,5,0,,0,,"Diamant",1,0,0,"Carnot, Berbérati",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,0,"etayement extension",,,0,0
140,122,"IPIS","IPIS - TetraTech 2019","cafmine00122","Ngola1","2019-05-13",1,,"0101000020E6100000AA202E14C3243040AA656B7D91D00940",16.1436016667,3.22684,"GPS","Sangha-Mbaéré","Nola","Salo","Nolan 2 & 3",2,3,0,,0,,"Diamant",1,0,0,"Nola",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,1,"Gendarmerie",0,"0","Conflit lié à l’exploitation artisanale","Conflits de limites, Conflits lié au vol",0,0
141,123,"IPIS","IPIS - TetraTech 2019","cafmine00123","Ngola1","2019-05-13",1,,"0101000020E610000079294D6F6C23304062105839B4C80940",16.1383733333,3.223,"GPS","Sangha-Mbaéré","Nola","Salo","Ngola1",3,10,0,,8,"Creuser","Diamant",1,0,0,"Nola, Berbérati",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension chauffage",,,0,0
142,129,"IPIS","IPIS - TetraTech 2019","cafmine00129","Docko","2019-05-13",1,,"0101000020E610000076839007352230408673788518C20940",16.1336216667,3.2197733333,"GPS","Sangha-Mbaéré","Nola","Salo","Docko",7,34,0,,0,,"Diamant",1,0,0,"Nola",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"autre",,,0,0
143,131,"IPIS","IPIS - TetraTech 2019","cafmine00131","Woworo","2019-05-13",1,,"0101000020E6100000FDBCA948855D3040926BDCBDC91C1140",16.365315,4.2781133333,"GPS","Mambéré-Kadéï","Berbérati","Basse-Mambéré","Mavoula1",5,60,5,"Creuser, Laver, Transporter",3,"Concasser, Transporter","Diamant",1,0,0,"Berbérati","Gendarmerie","aleatoire",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,1,"Gendarmerie",1,"extension chauffage",,,2,0
144,133,"IPIS","IPIS - TetraTech 2019","cafmine00133","Obo","2019-05-13",1,,"0101000020E610000084C10D1D28453040029F1F46080F1140",16.2701433333,4.26468,"GPS","Mambéré-Kadéï","Berbérati","Basse-Mambéré","Yamale",8,23,0,,0,,"Diamant",1,0,0,"Berbérati, Carnot","Point focal du Processus de Kimberley","trois_mois",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,0,"extension etayement",,,0,1
145,137,"IPIS","IPIS - TetraTech 2019","cafmine00137","Danou","2019-05-13",1,,"0101000020E61000000D08852D639830402FB236E838441340",16.5952633333,4.8166233333,"GPS","Mambéré-Kadéï","Gadzi","Topia","Guen",5,525,0,,20,"Autres activités","Diamant",1,0,0,"Guen","Brigade minière (USAF)","aleatoire","Point focal du Processus de Kimberley","aleatoire",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension autre chauffage","Conflit lié à l’exploitation artisanale","Conflits de limites, Conflits lié au vol, Conflits concernant le partage des gains",0,0
146,147,"IPIS","IPIS - TetraTech 2019","cafmine00147","Camp Péré","2019-05-13",1,,"0101000020E6100000C6A2E9EC64343040F4328AE596E61140",16.204665,4.475185,"GPS","Mambéré-Kadéï","Carnot","Senkpa-Mbaéré","Tengue",15,50,0,,0,,"Diamant",1,0,0,"Berbérati","Brigade minière (USAF)","aleatoire","Administration des mines","aleatoire",,,"etatique","FACA",,,,,,,,,,,,,,,,,,,,,,,,1,"Gendarmerie",0,"etayement extension",,,0,0
147,151,"IPIS","IPIS - TetraTech 2019","cafmine00151","Poutouka 2","2019-05-13",1,,"0101000020E6100000B90EFDEE303C30403BB8A27226B01140",16.2351216667,4.4220216667,"GPS","Mambéré-Kadéï","Carnot","Senkpa-Mbaéré","Poutouka 2",12,24,3,"Autres activités",0,,"Diamant",1,0,0,"Berbérati",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"etayement extension",,,1,0
148,162,"IPIS","IPIS - TetraTech 2019","cafmine00162","Banegbere","2019-05-13",1,,"0101000020E6100000A64F838E43863140D6470EB6EBE81040",17.5244683333,4.2274616667,"GPS","Lobaye","Boda","Lobaye","Gbadoua",5,250,0,,0,,"Diamant",1,0,0,"Boda",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,0,"extension chauffage etayement",,,0,0
149,174,"IPIS","IPIS - TetraTech 2019","cafmine00174","Kanga","2019-05-13",1,,"0101000020E6100000C819B295AA13314048F0588E7D361340",17.0768216667,4.8032133333,"GPS","Lobaye","Boganangone","Boganangone","Djoumbele-Besse",4,55,5,"Concasser, Laver, Transporter",15,"Concasser, Laver, Transporter","Diamant, Or",1,1,0,"Djoumbélé, Zalingo, Boganangone",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension chauffage charbon","Conflit lié à l’exploitation artisanale","Conflits lié au vol, Conflits concernant le partage des gains",1,1
150,177,"IPIS","IPIS - TetraTech 2019","cafmine00177","Site Koh3","2019-05-13",1,,"0101000020E61000009EC04C00EB223140AA9A20EA3E101340",17.1363983333,4.765865,"GPS","Lobaye","Boganangone","Boganangone","Ndoubi",4,18,4,"Transporter",4,"Laver, Transporter","Diamant, Or",1,1,0,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,0,0
151,125,"IPIS","IPIS - TetraTech 2019","cafmine00125","Belemboke","2019-05-14",1,,"0101000020E61000009B030473F438304093ADC35420200B40",16.22248,3.3906866667,"GPS","Sangha-Mbaéré","Nola","Nola","Belemboke",1,12,0,,0,,"Diamant",1,0,0,"Nola",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,0,"extension","Conflit lié à l’exploitation artisanale","Conflits de limites",0,0
152,138,"IPIS","IPIS - TetraTech 2019","cafmine00138","Modele","2019-05-14",1,,"0101000020E6100000B6F3FDD4787D304043F1FCC4EE581340",16.490125,4.8368483333,"GPS","Mambéré-Kadéï","Gadzi","Topia","Molondele",12,160,0,,8,"Autres activités","Diamant",1,0,0,"Dinguiri",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"chauffage autre",,,0,0
153,146,"IPIS","IPIS - TetraTech 2019","cafmine00146","Gbaya Bozoum","2019-05-14",1,,"0101000020E61000006EFAB31F298A30408ACDC7B5A1A21240",16.53969,4.65882,"Approximation","Mambéré-Kadéï","Gadzi","Topia","Gbaya Bozoum",24,50,30,"Creuser, Laver, Transporter",20,"Autres activités","Diamant",1,0,0,"Bangui",,"aleatoire",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,0,"chauffage extension charbon","Conflit lié à l’exploitation artisanale","Conflits de limites",0,0
154,165,"IPIS","IPIS - TetraTech 2019","cafmine00165","Likonzi","2019-05-14",1,,"0101000020E6100000EE3702CC8F663140040D641BCBFE1040",17.4006316667,4.2488216667,"GPS","Lobaye","Boda","Lobaye","Bomandoro",3,65,0,,0,,"Diamant",1,0,0,"Boda","Administration des mines","aleatoire",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension chauffage","Conflit lié à l’exploitation artisanale","Conflits de limites",2,0
155,175,"IPIS","IPIS - TetraTech 2019","cafmine00175","Zori","2019-05-14",1,,"0101000020E6100000F9CFC2794B183140D69A7F1638361340",17.0949016667,4.8029483333,"GPS","Lobaye","Boganangone","Boganangone","Djoumbélé",4,22,2,"Autres activités",5,"Concasser, Laver, Transporter","Diamant, Or",1,1,0,"Djoumbélé",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"chauffage extension",,,0,0
156,127,"IPIS","IPIS - TetraTech 2019","cafmine00127","Liboko","2019-05-15",1,,"0101000020E6100000F1D7648D7A7C3040BAC1E534312A0C40",16.486245,3.5206016667,"GPS","Sangha-Mbaéré","Nola","Nola","Liboko",1,4,0,,2,"Autres activités","Diamant",1,0,0,"Nola",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,1,"Gendarmerie, FACA, Eaux et Forêts",1,"extension",,,0,0
157,128,"IPIS","IPIS - TetraTech 2019","cafmine00128","Wakélé","2019-05-15",1,,"0101000020E6100000AB4203B16C523040DA20938C9C050C40",16.321971,3.50274,"Approximation","Sangha-Mbaéré","Nola","Nola","Wakélé",3,14,0,,0,,"Diamant",1,0,0,"Nola",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,0,0
158,134,"IPIS","IPIS - TetraTech 2019","cafmine00134","Bania Centre","2019-05-15",1,,"0101000020E6100000491C8A27A8223040199A842D63101040",16.1353783333,4.0160033333,"GPS","Mambéré-Kadéï","Berbérati","Basse-Mambéré","Bania",8,235,30,"Laver, Transporter, Traiter",0,,"Diamant",1,0,0,"Berbérati","Brigade minière (USAF)","semaine",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,9,4
159,152,"IPIS","IPIS - TetraTech 2019","cafmine00152","Mbaéré","2019-05-15",0,"autre","0101000020E6100000E94E88A56E88304050B4448983311140",16.5329383333,4.2983533333,"GPS","Mambéré-Kadéï","Carnot","Senkpa-Mbaéré","Gbogou",50,45,0,,0,,"Diamant",1,0,0,"Carnot, Guen, Berbérati","Brigade minière (USAF)","aleatoire","Gendarmerie","aleatoire",,,"etatique","FACA",,,,,,,,,,,,,,,,,,,,,,,,0,,1,"etayement autre",,,0,0
160,166,"IPIS","IPIS - TetraTech 2019","cafmine00166","Lobe-Mombaraka","2019-05-15",1,,"0101000020E6100000F98381E7DE573140BF654E97C5D41040",17.343245,4.207785,"GPS","Lobaye","Boda","Lobaye","Bomandoro",15,250,1,"Autres activités",4,"Laver, Transporter","Diamant",1,0,0,"Boda","Brigade minière (USAF)","aleatoire",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension chauffage",,,10,0
161,172,"IPIS","IPIS - TetraTech 2019","cafmine00172","Maoro","2019-05-15",1,,"0101000020E6100000D4AC5B18FC1C31400599CBEB9B2E1340",17.1132216667,4.7955166667,"GPS","Lobaye","Boganangone","Boganangone","Djoumbélé",3,15,0,,2,"Laver, Transporter","Diamant, Or",1,1,0,"Djoumbélé",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"etayement extension",,,0,0
162,124,"IPIS","IPIS - TetraTech 2019","cafmine00124","Mayembé","2019-05-16",1,,"0101000020E61000002861A6ED5F393040F2D1773A7D4A0C40",16.22412,3.5363716667,"GPS","Sangha-Mbaéré","Nola","Nola","Mangolo",2,7,0,,5,"Creuser, Creuser sous terre, Laver","Diamant",1,0,0,"Ngoulo",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,0,0
